YEAR,MONTH,DAY,STID,ATOT,WSMX,WSMN,WSPD
2014,1,1,HINT,11.79,28.57,4.18,17.51
2014,1,2,HINT,12.44,21.77,1.25,9.66
2014,1,3,HINT,12.19,35.54,10.94,23.95
2014,1,4,HINT,12.27,29.71,6.12,18.49
2014,1,5,HINT,12.87,25.28,3.22,17.61
2014,1,6,HINT,13.12,18.43,2.64,9.65
2014,1,7,HINT,12.26,25.1,9.9,16.84
2014,1,8,HINT,2.69,24.38,4.59,12.05
2014,1,9,HINT,2.71,18.05,0.2,8.07
2014,1,10,HINT,11.17,24.52,3.84,15.09
2014,1,11,HINT,12.99,18.21,3.61,10.99
2014,1,12,HINT,13.01,34.76,9.57,21.93
2014,1,13,HINT,13.37,18.45,6.15,11.26
2014,1,14,HINT,8.14,28.12,0.84,12.47
2014,1,15,HINT,12.81,17.47,0.29,9.07
2014,1,16,HINT,12.99,28.07,1.25,14.29
2014,1,17,HINT,12.75,20.18,4,10.05
2014,1,18,HINT,13.39,24.58,0.77,12.95
2014,1,19,HINT,13.76,27.27,0.79,13.87
2014,1,20,HINT,14.04,35.34,1.83,12.49
2014,1,21,HINT,14.28,21.92,0.81,10.17
2014,1,22,HINT,12.62,25.23,0.15,12.12
2014,1,23,HINT,9.11,31.05,1.01,19.17
2014,1,24,HINT,14.79,26.08,0.78,15.83
2014,1,25,HINT,14.12,14.92,3.44,8.38
2014,1,26,HINT,14.37,39.95,0.97,12.18
2014,1,27,HINT,6.6,38.74,12.42,23.57
2014,1,28,HINT,15.03,20.47,1.39,9.33
2014,1,29,HINT,15.56,29.24,0.85,17.34
2014,1,30,HINT,11.68,32.28,2.23,16.26
2014,1,31,HINT,2.89,17.92,2.01,11.11
2014,3,1,HINT,4.85,-996,-996,-996
2014,3,2,HINT,3.81,-996,-996,-996
2014,3,3,HINT,20.45,20.47,2.22,9.65
2014,3,4,HINT,20.54,17.62,5.73,11.84
2014,3,5,HINT,6.89,17.96,2.41,10.3
2014,3,6,HINT,11.18,19.08,0.3,8.71
2014,3,7,HINT,15.73,33.71,3.77,20.01
2014,3,8,HINT,4.93,30.71,4.49,16.93
2014,3,9,HINT,22.2,16.39,0.39,7.29
2014,3,10,HINT,22.85,23.22,7.66,15.87
2014,3,11,HINT,22.05,36.75,10.16,21.37
2014,3,12,HINT,22.98,37.09,2.36,13.4
2014,3,13,HINT,23.1,25.75,4.04,14.19
2014,3,14,HINT,20.98,20.15,1.52,11.45
2014,3,15,HINT,5.22,25.64,0.07,8.35
2014,3,16,HINT,14.75,34.31,2.16,19.84
2014,3,17,HINT,20.61,31.29,0.07,13.55
2014,3,18,HINT,22.09,32.21,6.63,21.08
2014,3,19,HINT,24,20.36,0.16,10.5
2014,3,20,HINT,23.88,28.77,7.27,16.78
2014,3,21,HINT,19.96,26.71,6.96,18.3
2014,3,22,HINT,11.29,34.56,9.54,20.16
2014,3,23,HINT,21.95,31.74,0.43,13
2014,3,24,HINT,23.85,26.55,3.97,13.59
2014,3,25,HINT,24.21,13.53,0.15,6.29
2014,3,26,HINT,4.76,34.94,8.47,22.96
2014,3,27,HINT,22.29,33.82,7.77,20.44
2014,3,28,HINT,19.94,25.81,1.82,15.93
2014,3,29,HINT,25.45,13.66,1.1,5.93
2014,3,30,HINT,23.31,33.62,8.41,23.86
2014,3,31,HINT,25.45,28.32,2.99,17.35
2014,4,1,HINT,18.55,25.03,1.87,14.09
2014,4,2,HINT,20.89,25.59,3.66,17.41
2014,4,3,HINT,23.83,29.64,3.74,15.29
2014,4,4,HINT,26.56,18.34,2.03,9.5
2014,4,5,HINT,23.93,18.3,3.02,11.51
2014,4,6,HINT,4.98,13.8,0.15,5.09
2014,4,7,HINT,21.94,30.65,0.36,8.93
2014,4,8,HINT,26.99,20.65,3.56,11.1
2014,4,9,HINT,26.99,26.89,6.67,17.92
2014,4,10,HINT,24.38,24.18,6.21,15.77
