"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2015,1,1,HINT,2.01,11.22,1.94,5.94
2015,1,2,HINT,1.86,9.05,0.08,3.39
2015,1,3,HINT,2.86,25.68,0.00,7.33
2015,1,4,HINT,12.51,25.55,4.25,12.38
2015,1,5,HINT,12.49,30.91,2.07,13.23
2015,1,6,HINT,12.13,24.38,0.00,11.22
2015,1,7,HINT,11.36,37.13,0.06,19.78
2015,1,8,HINT,9.77,32.95,0.99,14.17
2015,1,9,HINT,12.79,28.21,3.52,13.84
2015,1,10,HINT,8.87,25.59,6.30,15.62
2015,1,11,HINT,1.73,19.33,0.68,11.10
2015,1,12,HINT,7.11,24.18,3.97,15.59
2015,1,13,HINT,10.70,18.12,1.55,8.79
2015,1,14,HINT,-996.00,6.17,0.09,3.10
2015,1,15,HINT,13.36,12.92,0.72,6.06
2015,1,16,HINT,-996.00,21.23,0.46,12.05
2015,1,17,HINT,13.25,32.12,2.59,13.51
2015,1,18,HINT,13.37,26.96,0.00,13.79
2015,1,19,HINT,13.39,9.62,0.33,3.89
2015,1,20,HINT,12.77,26.46,1.07,11.53
2015,1,21,HINT,3.27,23.31,2.41,9.62
2015,1,22,HINT,6.58,18.25,3.86,9.77
2015,1,23,HINT,14.27,17.37,1.08,7.81
2015,1,24,HINT,14.37,13.76,3.14,8.08
2015,1,25,HINT,14.73,28.86,0.14,13.47
2015,1,26,HINT,14.52,19.35,1.77,8.37
2015,1,27,HINT,14.63,14.99,0.30,8.33
2015,1,28,HINT,12.29,19.60,1.17,11.82
2015,1,29,HINT,10.67,28.68,4.27,12.89
2015,1,30,HINT,6.36,11.20,0.00,4.77
2015,1,31,HINT,2.77,22.48,5.39,13.31
2015,2,1,HINT,13.59,30.65,6.10,18.56
2015,2,2,HINT,14.54,16.40,1.10,8.80
2015,2,3,HINT,15.41,21.74,2.94,14.77
2015,2,4,HINT,3.61,30.76,4.02,17.96
2015,2,5,HINT,15.87,22.95,1.22,9.54
2015,2,6,HINT,16.18,27.76,7.63,18.15
2015,2,7,HINT,16.61,24.90,7.24,15.55
2015,2,8,HINT,15.86,24.27,0.00,9.29
2015,2,9,HINT,16.54,17.02,2.53,7.22
2015,2,10,HINT,16.65,28.03,0.63,11.63
2015,2,11,HINT,7.99,35.19,2.17,17.37
2015,2,12,HINT,16.91,14.05,0.07,6.62
2015,2,13,HINT,17.13,19.57,2.42,9.53
2015,2,14,HINT,17.49,27.98,1.16,12.69
2015,2,15,HINT,7.35,-996.00,-996.00,-996.00
2015,2,16,HINT,14.47,-996.00,-996.00,-996.00
2015,2,17,HINT,12.60,21.97,2.24,8.97
2015,2,18,HINT,17.20,16.59,0.07,7.83
2015,2,19,HINT,18.04,22.88,1.70,12.30
2015,2,20,HINT,4.17,20.76,4.89,12.12
2015,2,21,HINT,16.89,24.32,0.59,13.29
2015,2,22,HINT,2.21,33.93,8.06,22.48
2015,2,23,HINT,6.23,27.92,0.29,14.43
2015,2,24,HINT,17.34,12.04,1.40,6.38
