"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2015,1,1,NRMN,2.34,10.26,0.00,3.94
2015,1,2,NRMN,1.57,7.89,0.22,3.89
2015,1,3,NRMN,3.02,15.37,0.04,6.75
2015,1,4,NRMN,12.67,30.38,3.25,14.56
2015,1,5,NRMN,12.54,19.46,1.01,8.16
2015,1,6,NRMN,11.99,17.73,0.78,7.15
2015,1,7,NRMN,11.80,32.53,3.19,16.73
2015,1,8,NRMN,10.16,20.58,0.00,8.27
2015,1,9,NRMN,12.47,20.11,1.57,10.54
2015,1,10,NRMN,6.28,15.51,1.18,8.98
2015,1,11,NRMN,2.65,13.95,0.00,6.92
2015,1,12,NRMN,3.16,19.64,1.54,12.80
2015,1,13,NRMN,12.06,11.66,2.47,6.83
2015,1,14,NRMN,5.19,7.44,0.00,2.99
2015,1,15,NRMN,13.09,11.76,0.66,5.31
2015,1,16,NRMN,13.41,16.30,0.00,6.71
2015,1,17,NRMN,13.27,27.02,1.46,11.33
2015,1,18,NRMN,13.62,24.29,0.02,9.51
2015,1,19,NRMN,13.41,7.53,0.00,2.98
2015,1,20,NRMN,11.74,19.64,0.08,8.77
2015,1,21,NRMN,5.27,18.03,0.60,6.71
2015,1,22,NRMN,3.32,14.43,0.00,6.53
2015,1,23,NRMN,13.91,15.06,1.19,6.87
2015,1,24,NRMN,14.28,13.46,1.59,7.64
2015,1,25,NRMN,14.45,32.82,1.13,15.84
2015,1,26,NRMN,14.32,16.94,0.00,5.87
2015,1,27,NRMN,14.36,10.67,0.00,5.20
2015,1,28,NRMN,12.11,20.00,0.75,8.95
2015,1,29,NRMN,12.19,27.67,3.63,13.93
2015,1,30,NRMN,8.05,10.93,1.28,5.63
2015,1,31,NRMN,2.38,14.78,2.47,8.17
2015,2,1,NRMN,11.19,30.89,5.18,19.96
2015,2,2,NRMN,15.96,21.79,0.44,7.66
2015,2,3,NRMN,15.63,18.63,3.93,10.20
2015,2,4,NRMN,3.56,26.04,2.03,12.70
2015,2,5,NRMN,15.85,19.75,0.33,8.38
2015,2,6,NRMN,15.97,19.48,5.30,11.63
2015,2,7,NRMN,16.26,18.07,6.93,11.72
2015,2,8,NRMN,16.07,18.92,0.00,6.26
2015,2,9,NRMN,16.39,12.58,1.49,6.09
2015,2,10,NRMN,16.09,18.41,3.47,9.42
2015,2,11,NRMN,9.82,24.18,2.67,12.78
2015,2,12,NRMN,17.24,15.55,1.07,6.86
2015,2,13,NRMN,16.92,15.75,0.00,8.49
2015,2,14,NRMN,17.22,18.57,0.00,7.92
2015,2,15,NRMN,8.65,18.97,5.32,11.30
2015,2,16,NRMN,14.34,21.05,0.00,11.54
2015,2,17,NRMN,15.51,27.31,0.00,8.56
2015,2,18,NRMN,15.90,13.59,0.00,6.72
2015,2,19,NRMN,18.50,16.50,1.16,9.89
2015,2,20,NRMN,3.24,17.31,4.42,10.96
2015,2,21,NRMN,15.19,20.96,2.95,11.24
2015,2,22,NRMN,2.39,27.16,5.53,17.33
2015,2,23,NRMN,5.31,22.28,0.52,12.15
2015,2,24,NRMN,15.30,9.69,0.20,5.16
2015,2,25,NRMN,19.08,26.53,0.00,5.81
2015,2,26,NRMN,16.32,29.97,6.12,17.90
2015,2,27,NRMN,5.31,14.16,4.91,8.91
2015,2,28,NRMN,4.47,-996.00,-996.00,-996.00
2015,3,1,NRMN,6.96,-996.00,-996.00,-996.00
