"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2015,1,1,TISH,1.49,-996.00,-996.00,-996.00
2015,1,2,TISH,1.22,-996.00,-996.00,-996.00
2015,1,3,TISH,5.70,14.29,0.02,5.68
2015,1,4,TISH,13.07,23.60,3.37,11.20
2015,1,5,TISH,12.96,17.19,1.80,7.90
2015,1,6,TISH,12.40,16.09,2.15,7.73
2015,1,7,TISH,11.81,31.76,3.53,16.48
2015,1,8,TISH,12.75,20.02,0.24,8.19
2015,1,9,TISH,12.22,20.27,2.37,9.84
2015,1,10,TISH,6.50,15.65,1.23,8.35
2015,1,11,TISH,2.03,-996.00,-996.00,-996.00
2015,1,12,TISH,2.09,20.56,2.07,11.79
2015,1,13,TISH,5.58,14.98,0.00,7.46
2015,1,14,TISH,4.15,7.14,0.17,3.55
2015,1,15,TISH,13.15,10.37,1.31,4.59
2015,1,16,TISH,13.05,13.65,1.55,7.10
2015,1,17,TISH,13.06,21.00,3.28,9.65
2015,1,18,TISH,14.22,21.07,2.83,9.55
2015,1,19,TISH,12.70,9.28,0.00,3.51
2015,1,20,TISH,13.04,21.52,0.07,10.83
2015,1,21,TISH,9.79,15.59,0.98,8.34
2015,1,22,TISH,1.65,18.57,5.84,11.07
2015,1,23,TISH,11.50,15.09,2.51,7.58
2015,1,24,TISH,14.44,11.20,3.03,6.96
2015,1,25,TISH,14.41,26.33,2.34,12.46
2015,1,26,TISH,14.52,13.17,0.12,6.43
2015,1,27,TISH,14.75,8.84,1.05,5.21
2015,1,28,TISH,13.37,19.82,0.00,7.90
2015,1,29,TISH,12.80,21.21,2.65,12.41
2015,1,30,TISH,12.08,12.09,2.82,6.33
2015,1,31,TISH,3.52,14.49,3.51,7.48
2015,2,1,TISH,9.37,22.88,0.20,12.58
2015,2,2,TISH,16.51,17.48,0.26,5.80
2015,2,3,TISH,14.40,18.23,0.00,7.73
2015,2,4,TISH,3.87,25.70,0.35,9.73
2015,2,5,TISH,4.86,21.56,0.78,9.46
2015,2,6,TISH,15.97,19.95,2.36,9.79
2015,2,7,TISH,15.81,21.36,1.35,10.35
2015,2,8,TISH,16.01,13.60,0.00,5.27
2015,2,9,TISH,16.54,14.97,4.61,8.46
2015,2,10,TISH,16.16,15.75,3.84,9.11
2015,2,11,TISH,11.42,22.55,5.72,12.41
2015,2,12,TISH,17.59,20.33,1.51,10.02
2015,2,13,TISH,16.45,15.67,0.00,6.21
2015,2,14,TISH,17.49,19.89,0.07,6.50
2015,2,15,TISH,9.53,15.08,4.70,9.68
2015,2,16,TISH,6.95,-996.00,-996.00,-996.00
2015,2,17,TISH,14.43,14.78,0.49,6.48
2015,2,18,TISH,15.43,14.31,0.14,5.37
2015,2,19,TISH,18.51,17.11,1.45,8.67
2015,2,20,TISH,2.50,14.28,4.26,8.63
2015,2,21,TISH,14.76,20.29,3.85,12.30
2015,2,22,TISH,3.04,27.38,8.83,16.42
2015,2,23,TISH,4.15,21.85,5.15,12.89
2015,2,24,TISH,11.54,7.06,0.03,4.23
2015,2,25,TISH,16.16,9.22,0.16,3.60
2015,2,26,TISH,15.07,25.10,2.09,15.63
2015,2,27,TISH,4.88,17.34,7.31,11.47
2015,2,28,TISH,3.55,11.14,1.91,5.61
2015,3,1,TISH,6.33,-996.00,-996.00,-996.00
2015,3,2,TISH,4.50,15.87,0.57,6.43
2015,3,3,TISH,3.60,13.53,0.00,6.77
2015,3,4,TISH,1.79,-996.00,-996.00,-996.00
2015,3,5,TISH,21.97,-996.00,-996.00,-996.00
2015,3,6,TISH,21.56,13.62,0.41,6.06
2015,3,7,TISH,21.10,12.21,0.00,6.03
2015,3,8,TISH,8.94,14.29,1.11,8.49
2015,3,9,TISH,2.72,11.03,3.67,7.21
2015,3,10,TISH,5.45,9.53,0.23,4.76
2015,3,11,TISH,21.31,15.21,3.03,6.66
2015,3,12,TISH,15.95,12.64,2.02,6.55
2015,3,13,TISH,2.15,16.36,3.92,9.94
2015,3,14,TISH,8.47,23.42,3.94,13.44
2015,3,15,TISH,14.99,11.16,0.47,5.38
2015,3,16,TISH,18.97,15.03,0.00,6.42
2015,3,17,TISH,16.56,16.03,0.00,8.70
2015,3,18,TISH,3.35,9.79,0.88,5.14
2015,3,19,TISH,2.95,16.28,3.02,7.67
2015,3,20,TISH,14.63,15.40,2.26,8.28
2015,3,21,TISH,7.75,8.65,0.60,4.38
2015,3,22,TISH,16.85,6.97,0.00,3.01
2015,3,23,TISH,23.04,14.63,0.00,7.72
2015,3,24,TISH,20.93,21.34,3.82,11.07
2015,3,25,TISH,18.01,26.15,4.08,12.92
2015,3,26,TISH,23.21,27.25,0.00,14.86
2015,3,27,TISH,16.14,23.22,0.16,7.78
2015,3,28,TISH,22.93,15.24,0.02,6.96
2015,3,29,TISH,23.72,17.07,2.15,9.61
2015,3,30,TISH,-996.00,15.03,1.98,7.29
2015,3,31,TISH,20.82,14.41,1.43,7.12
2015,4,1,TISH,10.16,28.23,1.10,12.13
2015,4,2,TISH,17.14,22.86,8.71,15.39
2015,4,3,TISH,22.63,26.08,6.05,16.20
2015,4,4,TISH,26.11,18.70,1.29,7.86
2015,4,5,TISH,3.26,13.93,2.24,8.53
2015,4,6,TISH,12.89,21.18,5.04,11.80
2015,4,7,TISH,13.58,20.80,6.19,12.41
2015,4,8,TISH,-996.00,21.00,6.81,13.62
2015,4,9,TISH,19.00,19.98,7.55,13.47
2015,4,10,TISH,25.12,16.26,2.28,8.27
2015,4,11,TISH,22.22,13.69,0.00,6.90
2015,4,12,TISH,14.30,17.43,2.99,8.82
2015,4,13,TISH,6.27,34.40,0.25,15.75
2015,4,14,TISH,5.58,17.14,1.85,9.86
2015,4,15,TISH,20.58,8.32,1.72,4.69
2015,4,16,TISH,16.37,12.84,2.57,6.45
2015,4,17,TISH,13.14,22.21,0.00,6.13
2015,4,18,TISH,22.57,25.37,0.12,6.12
2015,4,19,TISH,15.65,19.75,0.35,7.46
2015,4,20,TISH,27.49,17.38,0.06,6.72
2015,4,21,TISH,23.63,18.14,0.00,6.74
2015,4,22,TISH,18.83,15.38,0.00,7.34
2015,4,23,TISH,4.17,17.85,2.76,8.16
2015,4,24,TISH,3.02,19.77,5.49,10.21
2015,4,25,TISH,28.43,14.65,0.00,6.70
2015,4,26,TISH,21.56,23.96,0.37,7.17
2015,4,27,TISH,7.10,21.92,2.62,13.83
2015,4,28,TISH,8.59,16.09,1.45,9.80
2015,4,29,TISH,27.37,12.11,2.54,7.06
2015,4,30,TISH,25.66,8.16,0.00,4.10
2015,5,1,TISH,28.31,10.36,0.00,3.58
2015,5,2,TISH,25.73,13.76,0.00,6.70
2015,5,3,TISH,27.88,21.83,0.00,9.86
2015,5,4,TISH,-996.00,17.57,2.26,9.00
2015,5,5,TISH,17.72,24.00,2.87,9.54
2015,5,6,TISH,13.97,26.73,6.24,14.05
2015,5,7,TISH,14.81,18.95,1.07,8.67
2015,5,8,TISH,13.43,24.61,0.88,6.99
2015,5,9,TISH,2.13,18.25,1.81,8.49
2015,5,10,TISH,3.48,21.77,0.52,7.99
2015,5,11,TISH,28.63,17.74,0.04,9.76
2015,5,12,TISH,19.32,13.88,0.00,6.32
2015,5,13,TISH,3.03,14.18,3.40,8.67
2015,5,14,TISH,18.65,17.50,3.18,10.21
2015,5,15,TISH,13.55,17.51,1.67,9.19
2015,5,16,TISH,12.71,27.56,5.64,12.55
2015,5,17,TISH,20.59,29.84,2.18,7.97
2015,5,18,TISH,21.68,21.47,0.00,3.69
2015,5,19,TISH,10.90,21.74,2.97,9.20
2015,5,20,TISH,13.17,19.30,0.00,9.88
2015,5,21,TISH,21.83,15.87,3.18,9.93
2015,5,22,TISH,2.36,12.77,2.86,7.26
2015,5,23,TISH,5.29,18.77,3.30,8.62
2015,5,24,TISH,11.42,16.56,2.75,6.68
2015,5,25,TISH,10.40,21.00,0.00,7.91
2015,5,26,TISH,22.41,14.13,0.00,6.87
2015,5,27,TISH,18.83,14.75,0.00,5.46
2015,5,28,TISH,18.10,23.64,1.59,7.01
2015,5,29,TISH,12.71,11.46,0.00,4.98
2015,5,30,TISH,14.37,15.43,0.23,6.52
2015,5,31,TISH,16.22,13.97,0.00,5.94
2015,6,1,TISH,28.59,9.02,0.05,3.88
2015,6,2,TISH,27.21,14.81,0.00,6.88
2015,6,3,TISH,29.11,15.46,2.87,8.10
2015,6,4,TISH,29.39,13.36,1.53,6.95
2015,6,5,TISH,27.86,10.76,0.00,4.99
2015,6,6,TISH,27.78,9.25,0.42,4.28
2015,6,7,TISH,28.16,14.81,0.00,6.52
2015,6,8,TISH,22.25,9.75,0.52,3.58
2015,6,9,TISH,30.35,6.91,0.00,3.11
2015,6,10,TISH,29.83,10.11,0.00,4.50
2015,6,11,TISH,29.30,19.60,3.30,10.71
2015,6,12,TISH,26.93,15.77,3.14,9.58
2015,6,13,TISH,16.50,19.80,0.02,6.54
2015,6,14,TISH,20.50,19.77,0.72,9.90
2015,6,15,TISH,23.70,18.30,0.10,7.93
2015,6,16,TISH,8.41,16.33,0.11,5.11
2015,6,17,TISH,1.91,26.26,3.12,12.26
2015,6,18,TISH,13.85,20.49,0.88,9.73
2015,6,19,TISH,28.30,8.71,0.71,4.62
2015,6,20,TISH,20.39,17.88,3.10,9.12
