"YEAR","MONTH","DAY","STID","ATOT","WSMX","WSMN","WSPD"
2015,6,1,TISH,28.59,9.02,0.05,3.88
2015,6,2,TISH,27.21,14.81,0.00,6.88
2015,6,3,TISH,29.11,15.46,2.87,8.10
2015,6,4,TISH,29.39,13.36,1.53,6.95
2015,6,5,TISH,27.86,10.76,0.00,4.99
2015,6,6,TISH,27.78,9.25,0.42,4.28
2015,6,7,TISH,28.16,14.81,0.00,6.52
2015,6,8,TISH,22.25,9.75,0.52,3.58
2015,6,9,TISH,30.35,6.91,0.00,3.11
2015,6,10,TISH,29.83,10.11,0.00,4.50
2015,6,11,TISH,29.30,19.60,3.30,10.71
2015,6,12,TISH,26.93,15.77,3.14,9.58
2015,6,13,TISH,16.50,19.80,0.02,6.54
2015,6,14,TISH,20.50,19.77,0.72,9.90
2015,6,15,TISH,23.70,18.30,0.10,7.93
2015,6,16,TISH,8.41,16.33,0.11,5.11
2015,6,17,TISH,1.91,26.26,3.12,12.26
2015,6,18,TISH,13.85,20.49,0.88,9.73
2015,6,19,TISH,28.30,8.71,0.71,4.62
2015,6,20,TISH,20.39,17.88,3.10,9.12
2015,6,21,TISH,10.94,17.51,1.24,8.18
2015,6,22,TISH,25.74,19.91,4.96,10.98
2015,6,23,TISH,28.45,13.27,1.42,6.43
2015,6,24,TISH,-996.00,13.32,0.00,6.49
2015,6,25,TISH,28.46,13.24,0.00,7.13
2015,6,26,TISH,20.58,13.50,0.09,6.32
2015,6,27,TISH,29.20,15.13,0.48,7.55
2015,6,28,TISH,29.70,11.01,0.41,4.30
2015,6,29,TISH,23.34,26.13,1.34,5.91
2015,6,30,TISH,27.29,10.46,1.60,5.79
